sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
 39	i	212514.977	212594.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2301	2301	phone	phone	1324	1324	SEGMENT	 9371911	 9375438	44100	212554.977	 40.00000	0.5	280.5	2378.5	2959.0	3893.0	72.63291	biri	mark01vox_ker	212434.977	212744.977	0.3870968
 40	i	212624.977	212744.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2303	2303	phone	phone	1326	1326	SEGMENT	 9376762	 9382053	44100	212684.977	 60.00000	0.5	309.5	2334.0	2904.0	3865.0	77.87009	biri	mark01vox_ker	212434.977	212744.977	0.8064516
 41	iː	214664.977	214764.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2321	2321	phone	phone	1344	1344	SEGMENT	 9466726	 9471135	44100	214714.977	 50.00000	0.5	284.5	2325.0	3049.0	3829.0	73.51020	giidə	mark01vox_ker	214604.977	214834.977	0.4782609
 42	i	215134.977	215234.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2328	2328	phone	phone	1351	1351	SEGMENT	 9487453	 9491862	44100	215184.977	 50.00000	0.5	323.0	2134.5	2912.5	3652.0	75.99174	turti	mark01vox_ker	214834.977	215234.977	0.8750000
 43	iː	221172.982	221272.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2367	2367	phone	phone	1390	1390	SEGMENT	 9753729	 9758138	44100	221222.982	 50.00000	0.5	291.0	2223.0	2985.0	3793.0	75.68243	diiri	mark01vox_ker	221092.982	221352.982	0.5000000
 44	i	221312.982	221352.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2369	2369	phone	phone	1392	1392	SEGMENT	 9759903	 9761666	44100	221332.982	 20.00000	0.5	362.0	2287.0	2619.5	3750.5	74.76680	diiri	mark01vox_ker	221092.982	221352.982	0.9230769
 45	iː	221702.982	221782.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2375	2375	phone	phone	1398	1398	SEGMENT	 9777102	 9780629	44100	221742.982	 40.00000	0.5	297.5	2236.0	3162.0	3756.5	70.94548	giidə	mark01vox_ker	221622.982	221882.982	0.4615385
 46	iː	227222.982	227332.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2431	2431	phone	phone	1454	1454	SEGMENT	10020534	10025384	44100	227277.982	 55.00000	0.5	316.0	2289.0	3100.0	3793.0	75.05993	giidə	mark01vox_ker	227162.982	227632.982	0.2446809
 47	i	227802.982	227842.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2438	2438	phone	phone	1461	1461	SEGMENT	10046112	10047875	44100	227822.982	 20.00000	0.5	287.0	1305.5	2412.5	3802.5	67.39807	kuli	mark01vox_ker	227662.982	227842.982	0.8888889
 48	i	239004.977	239044.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2555	2555	phone	phone	1578	1578	SEGMENT	10540120	10541883	44100	239024.977	 20.00000	0.5	311.5	2161.5	2612.0	3703.5	72.99059	gili	mark01vox_ker	238944.977	239114.977	0.4705882
