sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
148	i	285089.966	285119.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2855	2855	phone	phone	1449	1449	SEGMENT	12572468	12573791	44100	285104.977	 15.01134	0.5	 213.0	 858.0	2441.0	3632.0	52.77666	kopi	mark14vox_ker	284769.989	285119.989	0.95711046
149	i	311469.989	311549.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2960	2960	phone	phone	1554	1554	SEGMENT	13735827	13739354	44100	311509.989	 40.00000	0.5	 424.5	2262.0	2757.0	3942.5	77.15534	pakiŋ	mark14vox_ker	311189.989	311649.966	0.69568647
150	i	315209.989	315309.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2999	2999	phone	phone	1593	1593	SEGMENT	13900761	13905170	44100	315259.989	 50.00000	0.5	 346.0	2215.5	2939.5	3885.5	74.87165	oliviyeŋ	mark14vox_ker	315039.989	315659.989	0.35483871
151	i	315389.989	315419.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3001	3001	phone	phone	1595	1595	SEGMENT	13908699	13910021	44100	315404.989	 15.00000	0.5	 224.5	2306.0	3022.5	3830.5	68.38175	oliviyeŋ	mark14vox_ker	315039.989	315659.989	0.58870968
152	i	338139.989	338179.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3035	3035	phone	phone	1629	1629	SEGMENT	14911974	14913737	44100	338159.989	 20.00000	0.5	 264.0	2209.5	2701.0	3724.0	70.10086	piyer	mark14vox_ker	338049.989	338379.989	0.33333333
153	i	338999.989	339029.966	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3048	3048	phone	phone	1642	1642	SEGMENT	14949900	14951221	44100	339014.977	 14.98866	0.5	 387.0	1919.0	2617.5	3879.0	71.48554	faɗi	mark14vox_ker	338789.989	339029.966	0.93754134
154	i	357989.989	358029.966	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3078	3078	phone	phone	1672	1672	SEGMENT	15787359	15789121	44100	358009.977	 19.98866	0.5	 265.5	2065.0	2509.0	3715.0	69.54130	piyer	mark14vox_ker	357899.966	358239.989	0.32354118
155	i	367469.989	367509.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3137	3137	phone	phone	1731	1731	SEGMENT	16205427	16207190	44100	367489.989	 20.00000	0.5	 399.5	1865.5	2553.0	3976.0	72.76217	faɗi	mark14vox_ker	367259.989	367509.989	0.92000000
156	i	381609.989	381639.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3228	3228	phone	phone	1822	1822	SEGMENT	16829001	16830323	44100	381624.989	 15.00000	0.5	 265.0	2146.5	2672.5	3723.5	70.38731	piyer	mark14vox_ker	381549.989	381959.989	0.18292683
157	i	382769.989	382959.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3236	3236	phone	phone	1830	1830	SEGMENT	16880157	16888535	44100	382864.989	 95.00000	0.5	 391.0	2312.0	2829.5	4026.5	75.81384	zaki	mark14vox_ker	382419.989	382959.989	0.82407407
