sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
135	u	178926.973	178966.973	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1810	1810	phone	phone	1195	1195	SEGMENT	 7890680	 7892443	44100	178946.973	 20.00000	0.5	285.0	1572.5	2594.5	1341.0	74.48567	məlnu	mark03vox_ker	178706.973	178966.973	0.92307692
136	u	183981.984	184041.984	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1848	1848	phone	phone	1233	1233	SEGMENT	 8113606	 8116251	44100	184011.984	 30.00000	0.5	449.0	1607.5	2589.0	3847.0	75.33730	siinu	mark03vox_ker	183651.984	184041.984	0.92307692
137	uː	206325.975	206425.975	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1998	1998	phone	phone	1383	1383	SEGMENT	 9098976	 9103385	44100	206375.975	 50.00000	0.5	404.5	 949.5	2692.0	2717.5	76.94481	nuutuŋ	mark03vox_ker	206265.975	206595.975	0.33333333
138	u	206475.975	206535.975	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2000	2000	phone	phone	1385	1385	SEGMENT	 9105591	 9108236	44100	206505.975	 30.00000	0.5	336.5	1206.5	2522.0	3253.5	77.89134	nuutuŋ	mark03vox_ker	206265.975	206595.975	0.72727273
139	uː	215487.971	215587.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2080	2080	phone	phone	1465	1465	SEGMENT	 9503020	 9507429	44100	215537.971	 50.00000	0.5	343.0	 934.5	2625.0	4038.5	77.50961	nuutuŋ	mark03vox_ker	215427.971	215847.971	0.26190476
140	u	215647.971	215757.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2082	2082	phone	phone	1467	1467	SEGMENT	 9510076	 9514926	44100	215702.971	 55.00000	0.5	367.5	1171.0	2521.0	3718.0	77.68124	nuutuŋ	mark03vox_ker	215427.971	215847.971	0.65476190
141	uː	221480.986	221590.986	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2134	2134	phone	phone	1519	1519	SEGMENT	 9767312	 9772162	44100	221535.986	 55.00000	0.5	380.0	 944.0	2596.5	3889.0	75.92828	cuuru	mark03vox_ker	221350.986	221720.986	0.50000000
142	u	221630.986	221720.986	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2136	2136	phone	phone	1521	1521	SEGMENT	 9773927	 9777895	44100	221675.986	 45.00000	0.5	410.5	 930.5	2670.5	3819.0	78.45204	cuuru	mark03vox_ker	221350.986	221720.986	0.87837838
143	uː	227090.986	227190.986	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2175	2175	phone	phone	1560	1560	SEGMENT	10014713	10019122	44100	227140.986	 50.00000	0.5	349.0	 926.0	2642.0	3878.0	76.64904	guuduŋ	mark03vox_ker	227040.986	227370.986	0.30303030
144	u	227240.986	227330.986	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2177	2177	phone	phone	1562	1562	SEGMENT	10021328	10025296	44100	227285.986	 45.00000	0.5	343.5	1094.0	2618.0	3262.5	76.67292	guuduŋ	mark03vox_ker	227040.986	227370.986	0.74242424
